NEE,PAR,Fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,VWC_5,VWC_25,VWC_50,VWC_100,VWC_150,VWC_200
-3.81765,437.895476,0.522763657,303.6975522,277.2486327,30.62,22.5185,22.62158896,36.575,0.41934,0.046833333,0.032,0.033,0.0365,0.054,0.129
-0.44065,183.8887934,0.703209598,223.8675039,94.48353191,33.565,27.408,20.76400634,49.95666667,0.451595,0.033166667,0.032,0.033,0.035833333,0.058,0.147
-10.8215,563.9850781,0.461954107,355.5869805,414.1582719,32.5305,23.0585,29.179593,25.88666667,0.459225,0.037,0.032,0.033666667,0.034166667,0.049666667,0.120666667
-9.19585,523.1903054,0.705064049,446.461795,186.7598187,31.248,21.3315,18.45323634,49.91166667,0.471075,0.036666667,0.032,0.033,0.035,0.051,0.125
-7.06155,334.9114026,0.73001814,328.705574,121.5648454,31.481,22.9335,23.73042082,36.36166667,0.49601,0.038,0.032,0.033,0.0355,0.051,0.125
-3.49375,169.2553525,0.750054024,222.6182246,74.18469538,32.785,25.378,23.91605526,40.01666667,0.51292,0.030833333,0.032,0.033,0.035666667,0.055,0.132
-17.296,1061.484724,0.393869656,482.0934237,741.8988712,31.2265,23.2065,24.37501441,33.76333333,0.514715,0.047,0.032,0.034,0.033833333,0.054,0.13
-18.1905,918.0841045,0.656484042,676.8439139,354.169593,33.606,29.108,21.02608511,49.42166667,0.51808,0.032,0.032,0.033,0.033333333,0.057333333,0.144833333
-15.2085,754.3112866,0.444302858,411.5241428,514.7002445,31.049,22.8,23.95295044,34.31166667,0.53128,0.046833333,0.032,0.033166667,0.035333333,0.054,0.129333333
-2.25001,176.9452015,0.70451158,212.5624929,89.15361628,33.1275,24.075,26.95689558,33.59,0.544125,0.032,0.032,0.033,0.0365,0.056,0.135
-1.35549,165.3950833,0.782696882,214.9763271,59.68469698,32.9565,24.7035,27.00744832,32.855,0.54934,0.031166667,0.032,0.033,0.036166667,0.055,0.133
-5.8396,297.4671527,0.642632614,304.1223745,169.1221633,31.7975,23.9835,23.86553533,37.04166667,0.549985,0.037,0.032,0.033,0.035,0.051,0.125
-7.6412,439.3936435,0.740465622,505.5186978,177.1851073,31.722,23.2935,24.9072134,34.05333333,0.55316,0.038,0.032,0.033,0.034666667,0.051,0.125166667
-12.564,705.9138861,0.549262673,470.8687131,386.4054775,33.8765,25.2115,28.6604856,31.98833333,0.564225,0.03,0.032,0.033,0.033666667,0.056,0.133833333
-10.37665,639.774792,0.484111649,398.4791603,424.6350144,32.3095,24.1765,26.20535502,32.65,0.5696,0.036833333,0.032,0.033,0.034166667,0.051,0.125
-19.4095,1036.407639,0.453301654,513.7535327,619.6055195,31.9025,23.63,25.55032561,32.94666667,0.57889,0.037166667,0.032,0.033333333,0.033166667,0.051,0.1255
-13.406,952.3927379,0.472263948,510.9952987,571.016786,32.135,24.4135,26.06818291,32.39833333,0.57937,0.036,0.032,0.033,0.033166667,0.051,0.125
-13.571,546.6201109,0.805133265,559.9533924,135.5257495,33.695,28.855,21.59214304,48.29,0.59321,0.032,0.032,0.033,0.034166667,0.057,0.144
-6.7383,411.8289395,0.630029075,354.2059378,207.9997635,33.638,24.8365,28.82176582,30.78333333,0.60447,0.030666667,0.032,0.033,0.034833333,0.055666667,0.133
-13.18965,760.5480557,0.481126066,438.6684843,473.0852444,33.8365,24.525,29.49055006,29.87833333,0.609555,0.031,0.032,0.034,0.034166667,0.056,0.135166667
-16.112,1001.666631,0.506531085,569.5322689,554.8454551,33.9025,25.5465,29.19233804,30.82,0.612635,0.03,0.032,0.033166667,0.032833333,0.056,0.134
-1.25439,177.8487859,0.778346237,238.4369934,67.90096013,34.1345,28.5485,22.62556988,47.04166667,0.64969,0.033,0.032,0.033,0.036,0.057,0.144
0.424065,203.3360503,0.976446564,303.1709235,7.312962385,28.306,26.345,9.372578477,70.395,0.658715,0.055,0.032,0.033,0.037333333,0.054,0.130166667
-8.4334,444.0040046,0.557398511,335.1480409,266.1238219,33.815,24.185,29.4192374,29.97333333,0.67351,0.031166667,0.032,0.0335,0.035166667,0.056,0.135
-7.4224,409.6733316,0.794455569,395.9913519,102.4523213,34.124,28.7165,24.30382478,43.05,0.706235,0.032166667,0.032,0.033,0.035,0.057,0.144
-13.4015,741.080298,0.550735657,494.2359209,403.1745053,33.802,25.7335,28.24489179,32.725,0.713505,0.03,0.032,0.033,0.0335,0.055,0.132
