Rn,PAR,fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,O3,VWC5,VWC25,VWC50,VWC100,VWC150,VWC200,NEE
420.8696273,-359.4206035,100.6064292,269.1108405,-365.2602977,81.8723122,44.69424707,-230.754654,-195.3000376,-249.2775569,272.8721043,-44.37602423,-104.3662838,61.88232474,284.4632115,-0.796639568,-162.3677093,0.042496749
-784.3676087,984.7119634,-13.94609652,949.9127619,543.8338082,263.5507951,-1053.483108,917.7311464,-724.4117725,1000.075234,-439.0518846,545.4061134,-1726.534411,-488.9658069,-264.5543701,209.2114763,-158.3835245,0.564509748
-1132.087562,-649.2045117,-50.81603134,-484.0735937,-582.7656925,-28.07196479,-28.26450422,322.387065,393.1350748,85.34495461,140.5502187,-21.12504834,-28.39393296,69.62411566,-101.4231417,-28.6491446,-144.886727,0.702044419
-686.910323,-451.1938465,-19.05896797,-618.0266393,-1.030725963,431.1204614,-277.8285869,537.397675,-99.56426934,972.9463552,-450.1788224,142.35917,-776.943753,318.1264045,68.423432,-37.49972698,-128.2853246,0.424909943
-24.5541797,-140.0685871,155.4260801,137.5257412,-292.9553323,96.2792859,-16.05391508,119.6283579,-34.86686522,-228.2644304,78.7591082,9.168480356,-186.8259952,122.6081875,189.9805105,89.7003675,-128.1995689,0.539452635
262.6376687,38.25024861,-78.85331106,-105.2816891,-241.8464681,-45.17583476,-169.2381594,-153.9842866,-58.74318494,68.36658595,19.03909708,120.512255,120.6120019,-96.10183171,-170.1597891,-269.1635091,-120.4160996,0.537846419
-613.5106076,376.6689599,-88.41600987,-297.3484104,-50.80192873,-19.19046962,-218.2681517,608.7765673,336.3185322,19.54203374,-326.2840696,57.6655625,-431.8853316,293.2660163,26.65960694,146.482458,-116.7595933,0.664866957
92.07724151,-128.4334411,23.74904837,-59.07684051,-40.25172498,26.24611013,97.16452315,-133.2819651,22.32577601,-128.9768914,119.2906669,29.17046257,128.7466683,-37.77378769,-171.6397485,-103.9145924,-115.4508356,0.467097389
-771.7431685,330.7068405,-100.4181355,-351.4871893,-151.0013525,-70.0697381,-250.378657,616.3053394,423.3294105,23.35223783,-326.4152555,52.93993266,-383.7105224,269.923872,39.56805641,165.3074888,-110.4533294,0.725798864
238.179681,568.1950851,-36.0454009,896.3134019,259.8583806,-577.22787,-242.2532927,152.9275478,-457.7084531,-185.0757255,17.7804593,98.10426507,217.1334181,-748.2092809,-52.01973689,51.07371135,-108.7748845,0.303519433
-2801.282484,-1010.295332,40.34932802,-628.9304196,-1183.0533,-188.7268512,-314.2861789,1040.323641,609.3782278,295.7987261,195.4172276,64.72877277,159.6549118,-501.6909468,-66.89204259,180.5331139,-104.9639639,0.679788897
