,Rn,PAR,fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,O3,VWC5,VWC25,VWC50,VWC100,VWC150,VWC200,NEE
785,126.3366714,-94.18192388,56.52469255,128.1731503,-53.49485614,15.87751492,13.37752543,-270.3201122,-59.48821222,-111.8805226,179.4806113,4.894173378,51.54003395,-85.83808577,135.9742598,30.14536947,-8.889038836,0.454171414
834,136.4146305,-91.11248246,12.09350807,98.04184211,26.68218534,8.017898791,38.8302097,-117.127087,-119.0638103,24.65681892,67.80156383,1.960342587,76.37051318,-79.12087682,-9.673998884,-61.88507948,14.33577003,0.580713612
461,-590.7142175,-90.75407087,116.1329215,-282.8700876,-310.9843561,10.44375406,-122.3739047,48.09577898,265.7154096,-62.51852113,77.51518634,-46.79435006,-176.3365983,53.59025248,-125.4716631,25.48483225,-2.865636631,0.706373218
128,-114.8923081,-89.28097743,-4.932491779,-185.2681217,-73.9843215,20.72360334,-6.984782831,-111.2738384,82.91562013,-33.11184897,35.42322724,-35.10914492,-9.592280386,57.21604584,-27.64297758,-1.178573026,3.595307134,0.600203277
538,1.502403446,-86.31480446,143.9376891,5.481832704,102.9634429,20.07545908,75.74596472,208.5334495,-117.4936486,49.70444867,46.96424456,59.61557334,-136.0813286,116.3764159,-96.42158456,-29.00145949,-14.93698786,0.614540534
42,-710.0592933,-84.03959282,-199.6711227,406.5413821,101.6786547,285.2379799,-535.7374618,1125.788259,-202.4396939,435.4506759,-417.458277,85.66455816,-1190.030339,336.2169802,172.5926629,318.6335124,-310.706322,0.427535419
285,80.773029,-77.16205743,22.27092839,61.81710276,-78.48693277,15.60808664,-1.047060798,24.50600662,-61.38557048,-24.98692873,42.79146974,3.177103923,-70.16408571,24.71617871,59.72519094,17.31012977,-46.94323661,0.340635754
722,-44.71488869,-70.28251754,-63.26531564,-104.4021327,24.94322131,-81.26553662,17.99514902,326.7330788,13.39026606,106.5668086,-31.56844167,1.412423215,-31.35922331,2.003636624,-248.9823062,-142.5847171,-196.2247585,0.476520331
530,-1161.984168,-68.7052562,272.3848778,-795.5637884,167.4993235,666.0393734,100.4207759,972.4791436,-279.7915629,104.4904132,-679.7786479,-452.5140282,-474.7778571,689.9822939,249.0979069,550.0400602,312.7911248,0.432031097
380,-85.48017296,-64.39438029,-4.114273648,-71.29400287,-38.82785131,1.840213281,5.316752078,-8.278834597,28.89253068,4.715143062,18.17004861,1.899535828,4.950483236,13.85907226,-2.010298648,3.449339011,-3.43689696,0.816787079
119,-120.8443042,-63.35832033,20.08476311,-82.06121193,-77.33236974,-30.35652939,-18.20705722,-0.762252074,44.48298616,10.24244765,7.354836408,-14.77946761,35.49910017,5.671982924,-9.937775287,11.57961599,18.93431415,0.652781998
390,7.103240472,-63.21232763,-17.77501529,-84.18872176,36.47482716,-34.42775376,-4.300894226,40.5513022,-34.15229167,68.70986251,54.44943781,6.607770629,-14.88107789,-8.054475114,61.75601959,46.64037994,14.29854173,0.331852996
621,7.892574315,-62.77046142,-3.206948877,-46.90351317,-27.47382224,-18.31365558,58.40909344,21.24368736,10.37960892,-36.52984966,-2.421324135,-3.027080583,95.89568028,14.55158336,12.83436137,-15.14780301,-5.261563055,0.22767554
627,-540.8873573,-60.0890748,28.62360897,-266.6264863,66.04664942,299.6284401,-20.72296216,514.2128911,-223.2847089,167.4093813,-325.9246392,-109.8641801,-319.4229639,299.7962194,144.6410744,86.29391365,51.38693495,0.451991909
483,-35.48408853,-58.84656111,7.294526576,-72.51609583,-26.76476163,10.22030362,71.03115072,55.32508038,-13.77613133,-68.64963986,-43.85081914,-72.16446425,83.88393876,72.92663742,48.32722916,-4.280062514,11.01769214,0.234771519
100,-235.7700821,-54.75368952,-4.341205834,-207.5997205,-68.9660589,-50.15366234,-37.15335128,-31.39600247,117.7625635,35.73060539,-10.60409307,-16.17826535,52.88204546,10.25962774,-54.10406265,18.28399977,45.46832963,0.708745035
234,-201.7611235,-53.62931839,210.159336,-106.8307209,177.5184962,-24.00605342,183.6092592,692.1488819,-211.5631388,47.3820395,-181.7424751,305.0758194,-91.71582624,84.57358412,-283.7548051,76.85330059,-74.71603425,0.549835134
487,-156.6748069,-53.42398548,6.922515286,-90.5635326,-112.3676029,-34.05263173,-51.08036003,-1.233786097,56.79250032,24.50138228,-25.71665409,-31.79701647,-5.93618696,30.24820017,45.63162864,38.59881566,44.83236251,0.635911911
198,-35.64142173,-51.67631164,35.15767271,-36.60708221,-19.65671495,49.62187346,28.88946637,36.71353159,-23.46843858,-34.30413551,-5.110483103,-21.92959067,-23.10633434,43.2626756,7.031535928,22.45479516,-16.27460921,0.338240456
