NEE,Rn,PAR,fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,O3,VWC5,VWC25,VWC50,VWC100,VWC150,VWC200
-17.2415,723.6287667,1517.454258,0.385760132,586.9644765,934.6144206,15.734,20.5,14.44473696,8.87,1.17083,42.70237187,0.0755,0.039333333,0.038,0.0435,0.08,0.301
-14.958,596.7401833,1192.84984,0.573812417,741.7466784,550.9173633,16.04,19.6835,14.56388054,9.711666667,1.13146,43.04583295,0.076,0.038166667,0.038,0.044666667,0.079,0.300833333
-17.638,534.7394833,1045.937022,0.499157055,626.3486723,628.4641497,16.2935,21.25,14.83169122,9.37,1.17419,42.49270428,0.074666667,0.038,0.038,0.042666667,0.078666667,0.299666667
-12.0935,574.2415667,980.0813664,0.599801853,586.765597,391.5001315,16.4185,20.912,14.81119092,10.14,1.020865,41.42630057,0.076,0.037,0.038,0.044333333,0.078,0.298333333
-10.718,302.567745,529.1293796,0.59806038,473.7232225,318.3761011,16.4975,19.105,14.90666897,9.966666667,1.0034,41.34899024,0.076,0.037,0.037,0.0455,0.078,0.2965
-6.63245,272.2409667,345.50808,0.867000404,343.6911035,52.72290281,16.183,17.535,14.61813644,10.11,0.863955,40.96613351,0.076,0.037,0.037,0.046333333,0.078,0.295333333
-3.32005,18.0036815,93.87578182,0.821830604,172.729516,37.44702784,16.1305,16.45,14.314973,11.71333333,0.801545,40.81431459,0.076,0.038,0.037,0.047333333,0.078,0.294333333
-6.34175,-92.81436,684.9655785,0.360114424,176.3291428,313.3183993,9.73505,9.46335,7.713644052,30.99666667,0.29334,10.58160273,0.070666667,0.041,0.038,0.0495,0.081,0.297
-15.1715,84.482875,1047.162825,0.267605902,233.6438603,639.44548,12.0865,10.3785,10.0790845,21.47333333,0.419415,19.42551799,0.076,0.041,0.038,0.0505,0.081,0.298
-18.83,303.23155,1345.387021,0.244964858,295.6166499,911.1550147,13.425,11.765,11.72435434,15.49333333,0.55913,35.38272737,0.075166667,0.041,0.038,0.0495,0.081,0.298
-20.335,510.6925333,1552.0487,0.256049221,373.834435,1086.175612,14.2845,13.3285,12.5462696,13.95666667,0.500425,42.87002508,0.075,0.040166667,0.038,0.049,0.081,0.298
-18.032,671.8335333,1666.645547,0.274713556,446.1524952,1177.911862,15.304,16.2215,13.57791226,12.20333333,0.482425,45.38156265,0.0725,0.04,0.038,0.044333333,0.080166667,0.2985
-23.712,768.9863667,1658.038327,0.300705117,503.536789,1170.983397,16.288,22.9285,14.40532955,11.95166667,0.59912,48.27440569,0.072666667,0.039,0.038,0.041666667,0.0795,0.299
-20.341,770.5580833,1507.755314,0.334052578,538.613846,1073.748645,17.0305,21.935,15.06873247,11.74,0.42007,51.03390596,0.0735,0.037833333,0.038,0.0435,0.0785,0.299
-18.56,408.5387667,836.7170431,0.637628066,754.9349196,429.0388733,18.041,22.4465,15.87984987,12.12,0.37992,52.75798643,0.072833333,0.037,0.038,0.0425,0.078,0.297833333
-19.4635,189.8546333,489.1977274,0.946809992,621.3725614,34.90754415,18.738,21.4685,16.50916634,12.18166667,0.500035,51.87930408,0.074,0.037,0.037666667,0.044166667,0.077333333,0.296666667
-9.3814,128.40745,360.884205,0.975675092,381.0358949,9.499743554,18.8585,20.072,16.60996582,12.23833333,0.547495,52.92503187,0.074,0.037,0.037,0.045,0.077,0.295333333
-7.42635,238.20965,342.6571079,0.881711529,328.8963172,44.12400319,18.803,19.2015,16.68193609,11.55833333,0.75961,52.8936415,0.074,0.037,0.037,0.045833333,0.077,0.294166667
-3.8667,20.5635065,93.1626974,0.818899206,174.1821399,38.52064283,18.9935,18.2965,16.51709518,13.37166667,0.80776,49.41492793,0.074,0.037,0.037,0.0465,0.077,0.293
-7.5576,-7.9182405,537.6089956,0.69178588,264.34423,117.7743385,10.636,11.322,6.451201637,45.24333333,0.214795,6.936195659,0.074166667,0.04,0.037,0.050166667,0.08,0.296
-20.849,122.81937,799.311888,0.665999728,428.2284337,214.7574652,12.475,12.2715,7.954610314,39.465,0.303845,11.81115742,0.074,0.04,0.037833333,0.049333333,0.08,0.2965
-18.7765,283.5592,1145.206246,0.503131563,507.854865,501.5329414,14.8375,13.7465,10.0317688,33.42833333,0.35451,20.65793707,0.073333333,0.04,0.038,0.0485,0.08,0.297
-19.9615,465.0755667,1353.828006,0.480993776,605.27822,653.1127419,16.512,15.5165,11.34000863,31.56833333,0.32972,29.2243457,0.073,0.039833333,0.038,0.047166667,0.079666667,0.297
-27.156,428.9656167,1088.439004,0.550982095,742.19223,604.8428849,17.689,18.03,12.15465639,31.385,0.441205,39.29926534,0.071666667,0.039,0.038,0.044833333,0.079,0.297
-28.9865,585.6585333,1309.50363,0.868536664,872.6996,132.0934464,18.342,20.055,12.6482139,31.21166667,0.23297,50.22735403,0.072,0.0385,0.038,0.044333333,0.079,0.297
-20.686,595.0571167,1210.853463,0.517922241,746.241022,694.595,19.2735,20.94,13.39251634,30.84333333,0.468285,56.9093571,0.072,0.038,0.038,0.044,0.078166667,0.297
-18.672,164.0577517,475.7492783,0.955089524,719.7112059,33.8424535,19.3595,20.9965,13.17510683,32.295,0.5057,60.59888763,0.072166667,0.037666667,0.037333333,0.0445,0.078,0.296833333
-15.4295,333.0874833,688.2215076,0.918976039,614.0515955,54.13948814,19.5695,20.262,13.3667295,32.10666667,0.44348,57.35435146,0.072,0.037,0.037,0.044833333,0.077833333,0.296
-12.5745,146.08915,382.1620111,0.961771917,447.3814059,17.7823174,19.434,20.172,12.87084758,34.12833333,0.466915,59.56723666,0.072,0.037,0.037,0.045,0.077,0.295
-7.59165,63.15938183,221.6566869,0.971412775,294.4811337,8.666139429,19.505,19.595,12.57787924,35.89,0.375145,61.93640911,0.072,0.037,0.037,0.045666667,0.077,0.294
-0.78904,-20.62625167,49.22356795,0.982909914,125.2069789,2.177003229,19.115,18.9015,11.16346263,41.88,0.265695,63.74863064,0.072666667,0.037,0.037,0.046166667,0.077,0.293666667
-10.86115,8.833434,414.7004302,0.893266881,254.0088649,30.35056937,12.8085,13.265,4.949223277,63.03333333,0.289275,2.040380251,0.073,0.039,0.037,0.049,0.079,0.293666667
-14.3565,111.5034933,845.610071,0.707801217,423.3624917,174.775067,15.097,14.1965,7.633046468,50.34666667,0.257245,11.02332711,0.072166667,0.039,0.037,0.048333333,0.079,0.294
-28.417,300.4179667,1200.798098,0.452892407,483.9455905,584.6207691,18.318,15.882,12.97273462,29.40666667,0.502625,27.16019505,0.071666667,0.039,0.037,0.0475,0.079,0.294
-19.992,465.8345,1391.045735,0.45156608,593.1954954,720.4450137,19.7765,17.3065,15.44299285,22.48666667,0.54794,47.98163517,0.071666667,0.039,0.037,0.046333333,0.079,0.293666667
-19.4335,609.4544667,1505.642971,0.489486103,706.7442727,737.1052419,20.6555,19.825,17.1324969,18.09833333,0.646535,55.2372753,0.069833333,0.0385,0.037,0.0425,0.078833333,0.293
-23.0395,716.1620333,1530.986019,0.471767984,727.6062843,814.6905827,21.767,25.873,18.85469525,15.22,0.67947,47.61831417,0.0695,0.0375,0.037,0.039666667,0.077833333,0.293
-18.951,746.4993833,1432.478491,0.502484404,748.1500585,740.7519905,22.665,24.8285,20.19508753,13.54666667,0.538565,58.42873105,0.070166667,0.036833333,0.037,0.041,0.077,0.292
-15.541,715.3256333,1257.860453,0.512631991,694.1153446,659.9073389,23.525,26.9335,21.4043929,12.555,0.60268,55.85532155,0.069,0.036,0.037,0.037666667,0.076166667,0.291
-15.1365,547.9482333,907.9364776,0.554756214,619.2555338,497.0105272,24.1545,27.55,22.20722935,12.31833333,0.642655,54.23449076,0.07,0.0355,0.037,0.040166667,0.075666667,0.2895
-10.18815,388.8467833,578.8721557,0.785751373,536.0570758,146.1651818,23.9005,24.9335,21.7120234,13.09333333,0.49178,54.33905687,0.070833333,0.035,0.0365,0.042333333,0.075,0.287833333
-6.4655,141.7510933,244.6755957,0.836891212,366.7952144,71.48781323,23.9065,23.5485,21.69840963,13.165,0.39934,54.57225968,0.071,0.035666667,0.036,0.0435,0.075,0.285666667
-0.576215,32.64790033,90.14018014,0.979051599,155.5964244,3.329238566,23.5485,22.185,20.92887329,14.62,0.288655,50.61027857,0.071,0.036,0.036,0.0445,0.075,0.283833333
-5.4979,11.50752333,333.4669723,0.986936096,177.9160648,2.355044514,12.477,14.4235,2.299153532,82.515,0.09027,5.934078246,0.071,0.039,0.036333333,0.048833333,0.078,0.282833333
-10.58815,115.21036,718.3510924,0.874106188,437.7331524,63.04485179,14.2265,15.0115,4.715030804,67.62833333,0.244845,14.46008733,0.071,0.039,0.037,0.047833333,0.078,0.283
-23.573,282.4709333,1027.155608,0.601769259,562.375568,372.1613157,16.5205,16.568,7.539531784,54.61166667,0.264025,21.14494588,0.070166667,0.039,0.037,0.0465,0.078,0.283666667
-23.113,442.85475,1241.986083,0.5978631,689.5414276,463.8019173,17.843,18.06,9.48073658,46.995,0.32626,39.88162123,0.07,0.038833333,0.037,0.045666667,0.078,0.284
-20.3075,531.6367,1265.30194,0.642806867,803.9779222,446.7522174,19.619,20.3035,12.04206445,39.02166667,0.420095,53.4743066,0.068666667,0.038,0.037,0.043,0.078,0.284
-19.504,550.7678833,982.1936732,0.681186498,774.4229842,362.4506715,21.595,24.993,15.93284288,27.66666667,0.628595,86.98957059,0.068,0.0365,0.037,0.041,0.076,0.283
-23.2995,458.8603667,764.8056758,0.726844953,650.69661,244.537796,21.9095,24.9735,16.30910989,27.225,0.762665,89.00467546,0.068666667,0.036,0.0365,0.041833333,0.075833333,0.282166667
-18.467,273.4834,467.0168605,0.840371533,505.9000539,96.09565132,21.902,23.8915,15.98013304,28.66833333,0.63062,90.93456773,0.069,0.036,0.036,0.043,0.075,0.281333333
-6.50385,123.073495,253.757376,0.945467752,315.4028603,18.19165914,21.3545,22.8435,15.36741437,29.30166667,0.46828,96.11728055,0.069,0.036,0.036,0.044,0.075,0.280333333
-0.2157,-1.441433833,88.73922072,0.975323835,161.2903701,4.080724345,20.9165,21.8235,14.82632749,30.13,0.51656,85.5731385,0.069,0.036,0.036,0.044833333,0.075,0.279333333
-4.8794,43.260915,168.5321079,0.988545483,152.0796295,1.762183633,16.991,16.8665,9.659973963,43.3,0.176495,20.4008665,0.069,0.038,0.036,0.047,0.077,0.279
-1.1187,42.02951333,161.3491927,0.997145926,166.2776318,0.475927074,17.1765,17.0685,10.82816621,37.08,0.695,27.74584022,0.069,0.038,0.036,0.047,0.077,0.279
-8.6111,79.90994333,251.5078182,0.999069754,209.164516,0.194755565,16.8575,17.225,9.79269862,42.055,0.753485,34.69374972,0.069,0.038,0.036,0.047,0.077,0.279
-10.441,128.5498833,335.5818404,0.999816388,296.1225937,0.054381782,17.7925,17.958,11.2199513,37.045,0.756375,44.4753798,0.068166667,0.038,0.036,0.046,0.077,0.28
-6.18385,91.20838167,271.6554523,0.997557551,304.148794,0.744686821,18.179,18.3465,11.72164615,35.63666667,0.806185,49.50561066,0.068,0.038,0.036,0.046,0.077,0.28
-11.954,139.932265,375.8911035,0.992071502,315.1273335,2.518453848,18.987,18.5535,12.38367666,35.03666667,0.66337,53.01240464,0.068,0.038,0.036,0.046,0.077,0.28
-11.43485,107.617285,278.4986698,0.984108522,309.9716455,5.005451663,20.2235,19.0285,14.40356649,29.52166667,0.56975,55.62474149,0.068,0.038,0.036,0.046,0.077,0.28
-5.629,86.35886667,214.5862979,0.975502584,274.5237382,6.894007466,20.195,19.042,14.52307144,28.78333333,0.838515,65.20046823,0.068,0.038,0.036,0.046,0.077,0.28
0.8786337,6.749115,94.86539169,0.976438236,159.7873233,3.855718769,19.207,18.5585,13.40781032,30.515,0.995245,67.48201295,0.068,0.038,0.036,0.046666667,0.077,0.279833333
-17.896,50.96456167,244.1318702,0.994197273,123.8863387,0.723074363,14.639,15.16,7.136776701,52.05,0.116565,34.75714456,0.068,0.039,0.037,0.048,0.078,0.2825
-18.4465,124.51123,519.4822975,0.956135963,395.1565584,18.12834428,15.7385,15.91,8.626921576,45.59666667,0.225355,26.31250375,0.068,0.039,0.037,0.047333333,0.078,0.283
-18.3385,140.6302,466.5491807,0.97102279,479.3488947,14.30470377,16.36,16.898,8.94745929,45.53333333,0.483405,40.05351309,0.067666667,0.039,0.037,0.047,0.077666667,0.283
-22.686,178.7049,559.6384148,0.978222944,523.2967775,11.64955605,16.947,17.6165,9.567699127,43.685,0.542065,48.06609032,0.067,0.038,0.037,0.046,0.077,0.283
-18.365,147.465,476.3890658,0.98724871,484.857228,6.26240889,17.2945,18.2,10.16091404,41.35166667,0.56449,50.97232459,0.067,0.038,0.037,0.046,0.077,0.283
-18.1265,129.214,428.0383625,0.990028534,469.5579965,4.729340087,17.885,18.525,10.72814065,40.11333333,0.476165,49.4182288,0.067,0.038,0.037,0.046,0.077,0.283
-15.445,126.3360333,415.9028485,0.991913224,424.491221,3.460751609,18.599,18.7285,11.43981553,38.65166667,0.395305,53.7763087,0.067,0.038,0.037,0.046,0.077,0.283
-14.5615,119.53485,381.7038476,0.991866866,377.7678958,3.097630352,19.0475,18.9385,11.77349136,38.43166667,0.274145,57.54046076,0.067,0.038,0.037,0.046,0.077,0.283
-10.14595,82.18023167,295.8285575,0.987768728,354.6561898,4.391611225,19.484,19.1185,12.11730412,38.15666667,0.306255,61.84763432,0.067,0.038,0.037,0.046,0.077,0.283
-9.08795,42.09958667,191.6706395,0.992278411,235.0352666,1.828968295,19.609,19,11.95407797,39.415,0.289025,64.05493281,0.067,0.038,0.037,0.046,0.077,0.283
1.0588,16.7302975,135.2168627,0.991016787,170.9512232,1.549611665,19.276,18.73,11.65046426,39.84666667,0.199255,60.97426077,0.067,0.038,0.036833333,0.046,0.077,0.283
3.9167,-13.51954533,39.22479199,0.993859317,82.22589612,0.508042863,19.0085,18.37,12.04420884,36.85833333,0.262785,49.13758445,0.067,0.038,0.036,0.047,0.077,0.283
-5.9642,201.1443833,527.3098857,0.987021371,397.6960903,5.229420583,12.3405,14.427,2.552724491,80.39166667,0.44547,51.82468533,0.119,0.041,0.038,0.049,0.079,0.296333333
-6.65475,150.8955567,419.8531867,0.8696483,527.8105757,79.11359793,12.803,14.913,2.906077975,78.28333333,0.37895,50.95169393,0.118666667,0.041,0.038,0.049,0.079,0.297
-0.75715,44.67612833,201.5746201,0.98439016,233.6339888,3.704820895,13.2185,14.8,3.04758089,77.765,0.191915,52.40352791,0.117833333,0.041,0.038,0.049,0.079,0.297
12.206,6.746102133,75.87200253,0.98123657,145.274384,2.777969941,13.4065,14.6065,3.213379671,76.81333333,0.137985,46.65070198,0.117,0.041,0.038,0.049,0.079,0.297
-7.19515,-245.0288333,630.6181369,0.603941235,266.7985697,174.9638971,12.154,11.738,1.501969822,88.4,0.30888,2.753009386,0.113166667,0.043,0.038,0.0505,0.08,0.301833333
-13.31945,-128.35293,1023.469321,0.413442605,343.4655367,487.2798501,14.6435,12.753,3.883204711,74.13666667,0.26441,13.40658589,0.1125,0.043,0.038,0.0495,0.08,0.302
5.68505,57.29334417,1347.602416,0.32436734,386.3744335,804.7887521,18.189,15.51,9.125525549,50.51,0.336635,18.31678302,0.111,0.042666667,0.038,0.047666667,0.08,0.302
-22.88775,585.0914667,1529.651858,0.312076552,454.5350062,1001.950603,21.436,16.9,14.17159414,35.16666667,0.39687,18.82083923,0.110333333,0.042,0.038,0.047166667,0.079833333,0.302
-14.48995,739.04645,1665.963944,0.364815594,585.9760002,1020.249201,24.462,19.505,19.83237827,23.27166667,0.64073,27.3210926,0.107666667,0.042,0.038,0.044666667,0.079,0.301666667
-10.10845,761.9349,1701.609958,0.341344874,581.1364834,1121.354248,26.782,23.697,24.14672487,17.16833333,0.907385,48.58364526,0.1065,0.041,0.038,0.0435,0.078333333,0.300666667
-11.1205,721.95125,1614.981993,0.337266443,561.6875927,1103.72444,27.2635,22.5135,24.10368028,19.42666667,0.977285,60.9747524,0.105833333,0.040666667,0.038,0.044166667,0.077833333,0.2995
-9.31295,638.2089833,1447.76621,0.313939916,485.8629684,1061.767465,27.9175,24.0915,25.17869,18.695,1.03041,60.61110457,0.103833333,0.04,0.037166667,0.042166667,0.077,0.297666667
-8.50805,485.1857833,1137.654525,0.311267461,411.958805,911.5293721,28.4225,23.4385,25.92698231,18.46666667,1.03043,66.9021444,0.104,0.04,0.037,0.043833333,0.077,0.296
-6.55895,247.9484333,657.3056405,0.621825227,504.1323209,306.5976064,28.2305,21.7865,24.42645751,22.40666667,0.97306,70.29696355,0.104,0.04,0.037,0.045,0.077,0.294333333
-7.6401,136.5710667,445.5887389,0.488860373,302.4897753,316.2754013,28.5145,21.095,24.51422541,23.28166667,0.95469,73.81548968,0.104,0.04,0.036166667,0.045,0.077,0.292666667
1.1897,-17.51282175,150.038932,0.654242217,185.7672857,98.17538988,27.9915,20.725,22.82179524,26.60666667,0.7131,78.91478074,0.104,0.0405,0.036,0.045,0.077,0.2915
-18.9855,143.9651983,440.3121993,0.965766884,276.242244,9.791837907,15.702,15.1515,4.146898775,73.9,0.197975,4.644312429,0.105,0.043,0.037,0.0485,0.079,0.291833333
-16.1005,182.7759333,479.2704265,0.913337347,453.4792367,43.02869475,17.8395,16.182,6.282923129,64.84,0.176665,9.407420939,0.104,0.043,0.037,0.047666667,0.079,0.292
-23.457,238.4840167,592.7425072,0.990785647,549.3807431,5.109266569,19.1865,17.405,7.778553518,59.64666667,0.205225,14.88869757,0.103666667,0.043,0.037,0.047,0.079,0.2925
-26.5795,458.4580667,1041.330234,0.964885418,700.9410993,25.50899122,20.9335,18.5935,10.46898397,50.87,0.19059,18.41215952,0.102833333,0.043,0.037,0.045833333,0.078,0.292
-32.507,576.42295,1285.808074,0.705640213,868.9961272,362.5041629,22.8085,20.7265,13.14183132,44.23166667,0.336515,26.53569402,0.1015,0.042833333,0.037,0.044333333,0.078,0.292
-26.4125,675.1542833,1493.004932,0.612384412,868.7209242,549.8666614,24.984,23.92,16.87069121,36.42833333,0.173445,41.53263271,0.100166667,0.042,0.037,0.042833333,0.0775,0.291833333
-14.088,589.7702,1314.983691,0.553118242,796.3097971,643.3639237,27.263,24.1585,20.91758512,30.11166667,0.307345,58.64175133,0.1,0.042,0.037,0.043,0.077,0.290833333
-18.7035,397.5806333,927.0635578,0.726468147,805.9158602,303.445732,27.7835,24.65,22.2693014,27.59166667,0.409925,75.99512484,0.0995,0.041,0.036166667,0.042833333,0.076333333,0.2895
-13.509,435.3513167,1027.94143,0.738437452,684.5612884,242.4790269,28.7525,24.222,26.62632652,17.87833333,0.53017,83.49602958,0.1,0.041,0.036,0.043666667,0.076,0.288166667
-5.5772,253.8838833,684.6084508,0.532332966,472.0121788,414.6738035,29.6255,22.12,29.99567122,11.44166667,0.909465,57.61561289,0.1,0.041,0.036,0.044833333,0.076,0.286666667
-4.2272,132.9343317,461.6981519,0.55791363,335.1481116,265.5687263,29.1025,20.62,29.37264831,10.86833333,0.997195,52.60693787,0.099166667,0.041833333,0.036,0.0455,0.076,0.2855
1.7710125,-36.31343883,138.9803482,0.744669751,201.7541134,69.17687725,28.563,19.315,28.77569836,10.185,0.788405,51.92494241,0.099,0.042,0.036,0.046,0.076166667,0.284333333
-12.853,189.1769833,625.1533226,0.730684096,320.5783672,118.1589326,17.7375,13.6265,13.51699944,23.93166667,0.623635,31.23140625,0.097166667,0.045,0.037,0.049,0.079,0.287
-18.876,277.2762,741.5174124,0.659409856,479.1091339,247.4634661,18.4505,14.26,14.45133947,21.85,0.82918,35.09265548,0.097,0.045,0.037,0.049,0.079,0.287
-19.345,446.1487333,1077.409259,0.811810203,661.5225293,153.3508575,18.4215,15.2765,14.43261505,21.825,0.82622,37.37062739,0.096,0.044833333,0.037,0.048,0.079,0.287666667
-24.506,658.85365,1504.619488,0.462198157,644.1896791,749.5624789,19.1005,16.175,15.07356375,21.405,0.843595,38.4621677,0.095666667,0.044,0.037,0.047666667,0.079,0.287666667
-22.686,570.5484167,1276.819671,0.592608637,829.7901644,570.4428265,19.1605,17.833,14.95491106,22.28833333,0.734245,38.4215521,0.094666667,0.044,0.037,0.0465,0.078833333,0.2875
