,Fdif,NEE,PAR,PARdif,PARdir,RH,Ta,Ts,Ustar,VWC_100,VWC_150,VWC_200,VWC_25,VWC_5,VWC_50,Vpd
449,-39.5521187626784,0.48118533595018276,-1904.49636846415,-1845.48335511874,2620.96173043423,3369.44876188521,-1601.58772703335,-1827.45572687282,2201.30972153519,775.576027391646,1699.27449399711,2073.87769187434,-1135.60528010953,73.3031863919506,-3109.76526002375,1165.82271484728
450,162.238993223883,-0.022671286536954938,-707.594112656423,-4687.49088735376,-2345.90888152537,4013.72939798288,-515.195700976478,1201.07387187068,-302.170227700488,1058.14391495849,-5263.65775975128,973.754553798724,3278.78791005968,-1725.53207187438,5195.31154052745,3338.68009344135
451,-52.2834237018791,-0.4805975139928764,-0.699898771554212,62.3342199252677,78.5853005761331,59.1985890215818,31.1415596874811,48.3840386634171,52.2879786556644,-7.35653226889775,-2.54808241871010,19.6653618554158,54.3219814694719,-21.3489309753671,-78.2961011146328,54.2244908052335
452,24.1215642458043,0.04799980615928856,-422.388202694855,185.569153520510,237.540250912974,-328.088269910489,34.8178626312192,276.964747132932,279.965140668707,-317.344735349744,320.334200387324,113.035799355234,236.234621241148,-98.0652351154193,-198.797047478064,-446.961583185652
453,-6713.96037315517,0.20497847560433868,10805.4844411906,22439.2404439287,-8759.99255692279,-10041.7411566354,695.227671388429,5087.12837114784,-4416.40207083144,3930.08113070847,-22802.6877450135,-13034.1727598850,-16287.8640315843,5505.13672240847,15353.2298105191,-6221.08555490259
454,440.754068862529,0.18250910647508733,-1456.92690002015,-1317.77427408153,-1439.85519916534,775.399573308571,-2049.61038797940,-1620.95799387793,218.104178493699,913.689802894146,716.543945186539,-2306.41994798175,-2409.90648661944,389.775565858232,1537.18288436942,-543.347006514916
455,-21.1953476955105,0.17104019771752554,1.32241432202478,15.0986444536659,-13.9605625780669,-3.22005096410718,33.4862666637504,-28.0078680879448,4.71195555144032,13.8449816487769,-16.3052832266251,-23.5191976667978,5.92095367252235,3.34275360591967,18.5535890742847,4.84004749203097
456,-35.1922154816773,-0.33782559181992206,-1977.19889748301,-2002.87534398470,2803.81642127716,3399.37599302550,-1536.03456938745,-1872.04608951788,2331.18038477265,723.876045656036,1947.67006033147,2215.39388360418,-1350.54419299822,122.340702925435,-3095.30883435004,1169.50135187717
457,21.1617732080571,0.021217481201489252,-0.805759523047426,214.039798254940,-71.2714414653306,-63.0707171467958,-164.077125764526,-49.5376996649997,-37.7837293243173,35.3471710051363,-190.190956668713,117.751989588682,144.571763584839,-31.5720865587656,115.518699219177,-190.803619340757
458,24.5178576482120,0.07323140542592443,-3.77629667399833,31.7339981629325,6.17854831931994,-33.7653534176991,0.100642779883751,-28.7898122445670,3.52738967316923,16.1739462624058,5.36247618341432,15.2475489619275,4.98477265890617,8.00622919015132,-31.9548034601094,-7.51898863013535
459,22.2555028195842,0.2864077277830276,-5.95849101930774,-11.8406390060313,-4.87548145998201,-11.3628633963455,15.2526182649245,14.9375812243140,3.87513925974971,1.34393875370822,-14.9632625946658,12.5534998805306,18.8134450965972,6.94539100838774,-38.9612411926230,18.1621708391544
460,9.39892229456515,-0.0013703456018351323,-13.8757966291440,207.665085101454,-57.3886391253952,-50.0599703173942,-150.517400105995,-32.5378243245234,-27.7265253462641,32.5845253778912,-174.232673055504,125.416379751188,147.703797407369,-36.3071207183753,105.039104116511,-169.327853164165
461,645.927434570426,-0.11372796071494928,-1379.95429969410,2158.10571892703,687.528714982823,-1422.82689941816,-311.220588609939,-1773.71306376963,715.295732838505,1045.93487200236,-1328.49154095209,1645.49188269856,-669.157825613153,173.328585380932,-790.897716662617,-626.940994256586
462,2556.44285131861,-0.8342451923465226,-16350.1769457473,9701.05931311521,10242.9548138850,-11503.5981397679,2130.58462740838,12711.3739178615,12924.7290563061,-13233.4194724757,13939.7382541847,3590.77962883202,9626.53179402908,-3751.96746273249,-7328.94679706789,-17738.6681845767
463,356.349566675468,-0.3882403301753452,-2375.96261742752,1308.68231118777,1542.98024006865,-1517.59052654796,256.442578020603,1731.08843676461,1908.26936656117,-1849.15773904862,2042.27119304641,571.684770271648,1327.98427317619,-526.171005591888,-1134.43506759203,-2473.28923162059
464,-27.2026484864266,-0.5876735076284397,-88.4358536145937,81.2432175318902,99.4534956831518,-10.0028164874981,30.1653130467456,96.3154331798003,96.8350401226448,-68.0310732257408,56.0440054347285,37.0026453600649,77.1576977966212,-39.0746159307322,-72.3805264844069,-49.3455421651195
465,66.2973885410654,-0.5899202830074387,292.599201175267,-129.986958189115,143.749969840350,133.729919634372,-111.714716717322,-199.103192786591,-83.8470221681562,68.7769413326549,55.9277109729256,-174.617685888594,174.599650858944,75.0018451465861,-113.149297027169,159.042122148750
466,0.639118131579479,0.0718906738387729,6.47390939014361,-12.3074419098392,6.70649963688865,-31.6154835404886,21.9514262027225,-8.14889302347307,-4.52993645788633,-3.54279104597952,20.2625554414273,1.13033799515632,-14.1134698058124,12.0459511030573,8.37870544212592,-11.5196588936758
467,1063.51924513001,-0.17532084676084103,1251.20799748233,163.193969802568,-621.344331400104,-711.707438511397,-47.2844729169731,-591.552963829202,-539.884213944728,500.126701270372,1075.05046785013,-350.263730765634,936.135841018717,611.373206130102,-1363.89721198630,583.853616196424
468,15.9556871413755,-0.409847108138887,-30.9546098665312,157.917048231341,-15.5674473646569,-46.3278730197006,-110.955020367883,-14.1924276830674,-0.113569525030441,3.94868876257372,-96.6008947069208,100.653195876533,130.988500112672,-27.8737399148882,53.7723748676587,-150.976652361575
469,-37.4888863684232,-0.13842649802524787,0.523491007056995,-14.9807502752632,-45.6279299371304,-19.1057724335715,-17.5700451824534,34.8771365561979,-15.4763737845757,-3.25472401233859,84.0068384219364,-7.98219980041648,-39.0845414371859,-40.5695127182085,80.3918413214087,34.0515502185124
470,442.964047159356,0.12010855079838134,283.687256835711,-228.533614826585,-434.550029776523,-125.284892382770,-76.8492611123012,-382.274527825404,-171.544036438224,332.778347176180,232.023854835558,-372.395786900028,105.376793542776,311.332482979566,-418.096606578139,317.616864347883
471,356.832155697581,0.012316961869916598,285.134713059025,-0.0854578123263530,-132.258568764301,165.216518722529,-166.439767644200,-169.847803634451,-372.782046061528,126.979232626724,139.176397956177,-263.588695755286,-21.3233563237077,-326.662127635937,-94.3561201019076,42.4491969227598
